,company,sector,inventory,cogs,sales,date,avg_inventory,company_name
273,AXON,Industrials,33763000,117997000,285859000,2018-12-31,36492000.0,Axon Enterprise
274,AXON,Industrials,37587000,32434000,80974000,2019-03-31,35675000.0,Axon Enterprise
275,BKR,Energy,3224000000,9271000000,12353000000,2016-12-31,1630793500.0,Baker Hughes
276,BKR,Energy,5309000000,5760000000,6889000000,2017-09-30,4266500000.0,Baker Hughes
277,BKR,Energy,4590000000,7816000000,9488000000,2017-12-31,4949500000.0,Baker Hughes
278,BKR,Energy,4696000000,1846000000,2239000000,2018-03-31,4643000000.0,Baker Hughes
279,BKR,Energy,4675000000,0,0,2018-06-30,4685500000.0,Baker Hughes
280,BKR,Energy,4681000000,6341000000,7541000000,2018-09-30,4678000000.0,Baker Hughes
281,BKR,Energy,4620000000,9402000000,10898000000,2018-12-31,4650500000.0,Baker Hughes
282,BKR,Energy,4871000000,2800000000,3160000000,2019-03-31,4745500000.0,Baker Hughes
283,BIIB,Health Care,263602000,466780000,2136821000,2008-12-31,2567301000.0,Biogen
284,BIIB,Health Care,268529000,272308000,1349556000,2009-06-30,266065500.0,Biogen
285,BIIB,Health Care,278686000,411666000,2107816000,2009-09-30,273607500.0,Biogen
286,BIIB,Health Care,293950000,545494000,2839651000,2009-12-31,286318000.0,Biogen
287,BIIB,Health Care,280038000,133749000,733409000,2010-03-31,286994000.0,Biogen
288,BIIB,Health Care,267878000,364477000,1524378000,2010-06-30,273958000.0,Biogen
289,BIIB,Health Care,289066000,599173000,2326067000,2010-12-31,278472000.0,Biogen
290,BIIB,Health Care,308254000,857726000,3152941000,2011-06-30,298660000.0,Biogen
291,BIIB,Health Care,310934000,279245000,824220000,2011-09-30,309594000.0,Biogen
292,BIIB,Health Care,326843000,571132000,1683455000,2011-12-31,318888500.0,Biogen
293,BIIB,Health Care,337619000,873771000,2560305000,2012-03-31,332231000.0,Biogen
294,BIIB,Health Care,362940000,1171036000,3470056000,2012-06-30,350279500.0,Biogen
295,BIIB,Health Care,392936000,312431000,907102000,2012-09-30,377938000.0,Biogen
296,BIIB,Health Care,447373000,598551000,1863805000,2012-12-31,420154500.0,Biogen
297,BIIB,Health Care,506557000,908579000,2839562000,2013-03-31,476965000.0,Biogen
298,BIIB,Health Care,570390000,1240400000,3836117000,2013-06-30,538473500.0,Biogen
299,BIIB,Health Care,614483000,313000000,975488000,2013-09-30,592436500.0,Biogen
300,BIIB,Health Care,659003000,683300000,2052288000,2013-12-31,636743000.0,Biogen
